description,location,latitude,longitude,reference_code,violation_type,recording_date,source,keywords,youtube_id,landmarks,weather_in_media,languages,clothes_and_uniforms,sex,weapons_used,edited,file_size,device_used_to_record,media_content_type,chain_of_custody_notes,finding_aids,international_instrument,urls_and_news,related_incidents,page_title,video_url
Targeting Al Atarib city with Stereoisomers Missiles, ALEPPO : Al atarib, , , AL_1a445,"
            Other"," July 29, 2016, 6:57 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=RSgjZtJLy8w, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",1a445fa2ef040855f19ef940ff2537f2d834863a47bd83b6cfaa1941,https://media.syrianarchive.org/files/spoon/sV_20160729_RSgjZtJLy8w.mp4
Warplanes targeting Al Atārib City with airstrikes., ALEPPO : Al atarib, , , AL_c17bf,"
            Other"," July 29, 2016, 6:03 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=VgkTt2I6qPQ, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",c17bfe1ff02dcddbcbfe2a273f498f1183a29d9f9e92ab089be77eaa,https://media.syrianarchive.org/files/spoon/sV_20160729_VgkTt2I6qPQ.mp4
Destruction caused by airstrikes on Al Atarib city, ALEPPO : Al atarib, , , AL_9f65b,"
            Other"," July 28, 2016, 7:27 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=aUFZCWLG0i8, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",9f65bc040ade772c42e58203e67a5fc5bbe17ec87556e91234611421,https://media.syrianarchive.org/files/spoon/sV_20160728_aUFZCWLG0i8.mp4
First moments of bombardment with explosive barrels on Hraytan city, ALEPPO : Harithan, , , AL_6412e,"
            Other"," July 27, 2016, 4:56 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=WkvVhYBVY1E, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",6412ed1f2cf40a6e6e1cc7bb54562b49f7d02f2be6bd8993ecd12295,https://media.syrianarchive.org/files/spoon/sV_20160727_WkvVhYBVY1E.mp4
Russian airstrikes that targeted Hretan, ALEPPO : Harithan, , , RU_2597,"
            Unlawful attacks"," July 27, 2016, 4:26 p.m.", Qasioun News Agency, None,https://www.youtube.com/watch?v=S2i8f47xOzY, None, None, None, , None,"
         ", None, ,"
                ","
                
        ", None, ,"
                ", None,"
                ",18fbc80a018b94f8ac48b8b9c7e9cfba8e438e08773b1de5d0ec50bd,https://media.syrianarchive.org/files/spoon/sV_20160727_S2i8f47xOzY.mp4
One of the Russian raids on Hraytan city in the northern countryside of Aleppo, ALEPPO : Harithan, , , RU_0886f,"
            Alleged civilian casualties from Russian attacks"," July 27, 2016, 3:17 p.m.", مركز عندان الإعلامي, ,https://www.youtube.com/watch?v=3KJTlf6GtN4, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",0886f1cc938dd2843845d7c797f91fcf7fd86e3cf0fac003926067e7,https://media.syrianarchive.org/files/spoon/sV_20160727_3KJTlf6GtN4.mp4
First moments the bombardment by warplanes on kafr Hamra city, ALEPPO : Kafr hamrah, , , AL_7d1d5,"
            Unlawful attacks"," July 27, 2016, 1:28 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=IluKv07Q85I, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",7d1d5726d5c44230489025a129da98654584d47c3712739a9c07851d,https://media.syrianarchive.org/files/spoon/sV_20160727_IluKv07Q85I.mp4
10 casualties and 15 injured as a result of Russian airstrikes that targeted a vegetable market in AL-Sakhour district, ALEPPO : Sakhour, , , RU_2596,"
            Unlawful attacks"," July 27, 2016, 1:12 p.m.", SMART News Agency - وكالة سمارت للأنباء, None,https://www.youtube.com/watch?v=YzXI_6dmnMU, None, None, None, , None,"
         ", None, ,"
                ","
                
        ", None, ,"
                ", None,"
                ",73a9ff4703647eb181db79ac9b359ac4ce7c35b35e6bae078eeaf295,https://media.syrianarchive.org/files/spoon/sV_20160727_YzXI_6dmnMU.mp4
Destruction of civilian homes caused by Russian airstrikes on Anadan city in the northern countryside of Aleppo, ALEPPO : Anadan, , , AL_e4536,"
            Other"," July 27, 2016, 1:06 p.m.", مركز عندان الإعلامي, ,https://www.youtube.com/watch?v=ufyJd4XqsHY, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",e4536c9accd7038235fdc42fa3f2bacc0af175099ec42fa9f1aae875,https://media.syrianarchive.org/files/spoon/sV_20160727_ufyJd4XqsHY.mp4
Ten Casualties after the massacre committed by warplanes in Alsakhur neighborhood, ALEPPO : Sakhour, , , AL_04b4e,"
            Other"," July 27, 2016, 12:24 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=BdrZ2ol5j5g, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",04b4ef87db458a53756d093bec8b9299f2175baf84ec406a0c7b3bd7,https://media.syrianarchive.org/files/spoon/sV_20160727_BdrZ2ol5j5g.mp4
