Description,City,Neighborhood,Latitude,Longitude,Reference_Code,Violation_Type,Recording_Date,Recording_Hour,Recording_Minute,Source,Youtube_ID,Weapons_Used,URLs_And_News,Page_Title,Video_URL,Database_ID
Destruction of Ali Bin Abi Taleb School as a result of airstrikes,ALEPPO,Darat Izzah,NA,NA,SC_59c15,Specifically protected persons and objects,2017-04-18,6.0,29.0,المكتب الإعلامي لمدينة دارةعزة,https://www.youtube.com/watch?v=PZpV0QmeEl4,NA,NA,59c15268487040945732fd369a6d21b4007364567f8f098cc2e5daa0,https://media.syrianarchive.org/files/spoon2/sV_20170423_PZpV0QmeEl4.mp4,63609
Airstrikes that targeted civilians,IDLIB,Marat Hermeh,NA,NA,CD_f005d,Unlawful attacks,2017-04-18,5.0,58.0,معاذ الشامي,https://www.youtube.com/watch?v=1_AOIJ1WY-A,NA,NA,f005d1015c0cd88f8373040a98500295a62f559c0284aa6e803342cc,https://media.syrianarchive.org/files/spoon2/sV_20170417_1_AOIJ1WY-A.mp4,62716
Destruction in the hospital as a result of airstrikes,IDLIB,Khan Shaykhun,NA,NA,HO_23aaa,Specifically protected persons and objects,2017-04-17,21.0,48.0,Syrian Network for Human Rights,https://www.youtube.com/watch?v=-3PHLF3VLx4,NA,NA,23aaa0322666c2a76831b80feea17440f6593ed74f1615db6dc4a805,https://media.syrianarchive.org/files/spoon2/sV_20170417_-3PHLF3VLx4.mp4,62561
Destruction in Al-Rahma hospital as a result of airstrikes,IDLIB,Khan Shaykhun,NA,NA,HO_b1ade,Specifically protected persons and objects,2017-04-17,21.0,46.0,Syrian Network for Human Rights,https://www.youtube.com/watch?v=wuizYFSCzs0,NA,NA,b1ade40638ebf43c2f7eaba6ccf80bf9f587bb519209a84c831e6933,https://media.syrianarchive.org/files/spoon2/sV_20170417_wuizYFSCzs0.mp4,62562
Destruction in Al-Rahma hospital as a result of airstrikes,IDLIB,Khan Shaykhun,NA,NA,HO_71da5,Specifically protected persons and objects,2017-04-17,21.0,44.0,Syrian Network for Human Rights,https://www.youtube.com/watch?v=WGRifpsEbP8,NA,NA,71da5a4feebdee6d8a7925fa90a690b64b7f1bc89adf0e870d37c976,https://media.syrianarchive.org/files/spoon2/sV_20170417_WGRifpsEbP8.mp4,62563
Targeting the Children Hospital with 4 airstrikes in Shinan town from suspected Russian airstrikes,IDLIB,Shanan,NA,NA,HO_ad4ce,Specifically protected persons and objects,2017-04-17,16.0,2.0,الدفاع المدني السوري في محافظة ادلب,https://www.youtube.com/watch?v=9b8gcD6PyTI,NA,NA,ad4ce134861cb45619646a0087184037300d16fa74cc2eb8b48f0c56,https://media.syrianarchive.org/files/spoon2/sV_20170417_9b8gcD6PyTI.mp4,62560
Civil defense member was injured by Russian bombing which targeted Shinan town at the southern of Idlib.,IDLIB,Shanan,NA,NA,CD_2cb31,Specifically protected persons and objects,2017-04-17,11.0,49.0,Step News Agency,https://www.youtube.com/watch?v=h31iOR3Obzg,NA,NA,2cb31252a7b8e2a40326521e20d7283413fd1ca236005c0ef8c6a6f1,https://media.syrianarchive.org/files/spoon2/sV_20170417_h31iOR3Obzg.mp4,62597
Casualties and destruction of Erbin Hospital's ambulance car,DAMASCUS,Irbin nahiyah,NA,NA,HO_3085a,Specifically protected persons and objects,2017-04-17,6.0,13.0,مشفى عربين الجراحي,https://www.youtube.com/watch?v=Aenw8pRKNog,NA,NA,3085a13182009686ff9e1babec002bbbe64e4430bd2c2cf25af544e8,https://media.syrianarchive.org/files/spoon2/sV_20170423_Aenw8pRKNog.mp4,63610
Targeting Al-Latamna city with phosphorous bombs by the warplanes,HAMA,latamneh,NA,NA,IN_bc44c,Use of illegal weapons,2017-04-17,12.0,26.0,وكالة ثقة,https://www.youtube.com/watch?v=ifH717FiXPA,Incendiary Weapons,NA,bc44c4d20c90b205259d5d8888526541509d6fa890c5671e36b2021e,https://media.syrianarchive.org/files/spoon2/sV_20170416_ifH717FiXPA.mp4,62568
Targeting Tramla village with cluster and phosphorus bombs at night,IDLIB,Termala,NA,NA,IN_19616,Use of illegal weapons,2017-04-16,17.0,11.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=RZifa83lCXw,Incendiary Weapons,NA,19616b72670c279f3536a8bece90205ce97ae14925ed306761aa1ee3,https://media.syrianarchive.org/files/spoon2/sV_20170416_RZifa83lCXw.mp4,62462
Targeting the Civil Defense team with an artillery shell during the rescue of children in Duma city - Damascus countryside,DAMASCUS,Duma,NA,NA,CD_9da90,Unlawful attacks,2017-04-16,14.0,24.0,الدفاع المدني السوري في ريف دمشق,https://www.youtube.com/watch?v=UikOezYI1Xs,NA,NA,9da9097c61291d9e1f08427bfd27dda515a360989d7001f301118292,https://media.syrianarchive.org/files/spoon2/sV_20170416_UikOezYI1Xs.mp4,62396
Targeting Turmala town in Idlib countryside with phosphorous bombs by Syrian regime's forces,IDLIB,Termala,NA,NA,IN_8ef5c,Use of illegal weapons,2017-04-16,12.0,31.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=qD9ebsAL46o,Incendiary Weapons,NA,8ef5cb7305e7ec9a1cd206dc51e796eb1c906eb25a0fb04264f6b8d2,https://media.syrianarchive.org/files/spoon2/sV_20170416_qD9ebsAL46o.mp4,62710
Fire as a result of an incendiary bomb attack,ALEPPO,Yaqed Al Adas,NA,NA,IN_c5536,Use of illegal weapons,2017-04-16,11.0,0.0,وكالة ثقة,https://www.youtube.com/watch?v=HRRWKj6c7oo,Incendiary Weapons,NA,c5536bccdf80185e4fa24da0064657c70d8e533756d166e76f5d3610,https://media.syrianarchive.org/files/spoon2/sV_20170416_HRRWKj6c7oo.mp4,62424
Alleged Russian airstrikes with cluster and incendiary bombs,IDLIB,Termala,NA,NA,IN_3371a,Use of illegal weapons,2017-04-16,10.0,58.0,Qasioun News Agency,https://www.youtube.com/watch?v=vBj7v2XD9So,Incendiary Weapons,NA,3371a5010c2aaa3699db895fdcf52fe349dca81071af719a76dfdad7,https://media.syrianarchive.org/files/spoon2/sV_20170416_vBj7v2XD9So.mp4,62481
Orient agency documents new testimonies by chemical massacre survivors.,IDLIB,Khan Shaykhun,NA,NA,CW_3b820,Use of illegal weapons,2017-04-16,8.0,42.0,Orient News,https://www.youtube.com/watch?v=LxfJZ921FNI,Chemical Weapons,NA,3b8208061d4c0523928d1202d7f4a9a2f0327eb5c6e0e03b187951a5,https://media.syrianarchive.org/files/spoon2/sV_20170416_LxfJZ921FNI.mp4,62511
Destruction in the National Hospital after being targeted with airstrikes,IDLIB,Maret Numan,NA,NA,HO_01f98,Specifically protected persons and objects,2017-04-16,6.0,14.0,Syrian Network for Human Rights,https://www.youtube.com/watch?v=5hiC2s4PBVY,NA,https://www.facebook.com/almarra.today7/videos/vb.1507032492930285/1714766065490259/?type=2&theater,01f984179514db6b17b028c54bc0bebb454efefcdca030c21e3c4e2a,https://media.syrianarchive.org/files/spoon2/sV_20170415_5hiC2s4PBVY.mp4,62413
Destruction in the National Hospital after being targeted with airstrikes,IDLIB,Maret Numan,NA,NA,HO_327dd,Specifically protected persons and objects,2017-04-16,6.0,12.0,ShaamNetwork S.N.N,https://www.youtube.com/watch?v=zJ1u05D0AAI,NA,https://www.facebook.com/ShaamNetwork.Arabic/videos/1472773599439876/,327dd174880526ff84fd16f5d3fd7bcd9a61cc37211d0df6fd6259c7,https://media.syrianarchive.org/files/spoon2/sV_20170415_zJ1u05D0AAI.mp4,62414
Airstrikes targeting Al-Lataminah town with incendiary bomb,HAMA,latamneh,NA,NA,IN_af401,Use of illegal weapons,2017-04-15,21.0,50.0,وكالة ثقة,https://www.youtube.com/watch?v=uiCgABsP-4M,Incendiary Weapons,NA,af40116f132cc34333018ed2cb485b195e4de4b934588f836be77228,https://media.syrianarchive.org/files/spoon2/sV_20170415_uiCgABsP-4M.mp4,62276
Journalists were injured as a result of the explosion near the buses of Kafriya and Al Fawa,ALEPPO,NA,NA,NA,JO_3f88a,Specifically protected persons and objects,2017-04-15,20.0,44.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=E2jZTx_Lu9A,NA,NA,3f88a4d0ba327108648364eff2cfb345e61b59ec34b72984b1570cbe,https://media.syrianarchive.org/files/spoon2/sV_20170415_E2jZTx_Lu9A.mp4,62541
The destruction in a school located in Kafar laha as a result of attacks,HOMS,Kafar Laha,NA,NA,SC_e3d33,Specifically protected persons and objects,2017-04-15,12.0,42.0,مركز حمص الإعلامي,https://www.youtube.com/watch?v=ni49hOEZGtE,NA,NA,e3d3377577ffdf2ce67913763d924b29015ccc1fb90465fc8c1a7cc1,https://media.syrianarchive.org/files/spoon2/sV_20170415_ni49hOEZGtE.mp4,62273
Survivors testimonies after the chemical massacre in Khan-Shikhon.,IDLIB,Khan Shaykhun,NA,NA,CW_14966,Use of illegal weapons,2017-04-15,11.0,42.0,Orient News,https://www.youtube.com/watch?v=Ep6BTAN_M4k,Chemical Weapons,NA,1496606d766e64a675992db308271843e6fe05d006841f6141de7bbb,https://media.syrianarchive.org/files/spoon2/sV_20170415_Ep6BTAN_M4k.mp4,62357
Incendiary weapon attack that targeted Sunbul village,IDLIB,Deir Sinbal,NA,NA,IN_81542,Use of illegal weapons,2017-04-15,6.0,52.0,Orient News,https://www.youtube.com/watch?v=K7XxDrXpXkk,Incendiary Weapons,NA,81542db1dd6fb4b88bdb8fbc977a2356f0c61ed453fe4011676f556c,https://media.syrianarchive.org/files/spoon2/sV_20170415_K7XxDrXpXkk.mp4,62501
Testimonies of the chemical massacre survivors in Khan-Shikhon.,IDLIB,Khan Shaykhun,NA,NA,CW_0dafd3,Use of illegal weapons,2017-04-14,9.0,55.0,Orient News,https://www.youtube.com/watch?v=BJDpNCnsSjI,Chemical Weapons,NA,0dafd3488139c2f53d425260bf2c578a0fd65ac72f21a29aa12006bc,https://media.syrianarchive.org/files/spoon2/sV_20170414_BJDpNCnsSjI.mp4,62206
Intensive raids of Russia and the regime on the neighborhoods of Jisr al-Shughour city in Idlib,IDLIB,Jisr ash-Shughur,NA,NA,RU_94f73,Unlawful attacks,2017-04-14,9.0,54.0,Orient News,https://www.youtube.com/watch?v=ssv62pk2e40,NA,NA,94f73964a1743639c329c6fe5abafd7aa40abeb366f9f8da37b12f2c,https://media.syrianarchive.org/files/spoon2/sV_20170414_ssv62pk2e40.mp4,62209
Targeting Darat Izza city with phosphorus bombs and napalm- Aleppo,ALEPPO,Darat Izzah,NA,NA,IN_9ae91,Use of illegal weapons,2017-04-12,22.0,37.0,وكالة ثقة,https://www.youtube.com/watch?v=zDr63lcdFpw,Incendiary Weapons,NA,9ae9108c646c1ba8b986bfe2201beb87ee496bf79d71c726ba619aae,https://media.syrianarchive.org/files/spoon2/sV_20170412_zDr63lcdFpw.mp4,61845
Targeting the civil defense team by airstrikes,IDLIB,Jisr ash-Shughur,NA,NA,CD_de749,Unlawful attacks,2017-04-12,16.0,53.0,الدفاع المدني السوري في محافظة ادلب,https://www.youtube.com/watch?v=8GFmr74RAqU,NA,NA,de7498304286a1dabea3702c80c753f32522bffaf3e171b630bd4bc0,https://media.syrianarchive.org/files/spoon2/sV_20170412_8GFmr74RAqU.mp4,61835
Targeting Al-Lataminah town and Zilaqiat village with phosphorus bombs  and napalm- Hama,HAMA,latamneh,NA,NA,IN_0dd3d,Use of illegal weapons,2017-04-12,14.0,28.0,مركز الحدث السوري,https://www.youtube.com/watch?v=AOUlCcIJ6xE,Incendiary Weapons,NA,0dd3d5e08b43c42cddbe125db66dd96f3874a6896be3da7b8e6109c9,https://media.syrianarchive.org/files/spoon2/sV_20170412_AOUlCcIJ6xE.mp4,61821
many airstrikes targeting Hasraya village north of Hama with phosphorus bombs,HAMA,NA,NA,NA,IN_8d131,Use of illegal weapons,2017-04-12,14.0,7.0,مركز الحدث السوري,https://www.youtube.com/watch?v=F0CzUeD7Hbc,Incendiary Weapons,NA,8d13101609d09d9c454c8384b951956714c7abcaf9e325c3dfe6ed22,https://media.syrianarchive.org/files/spoon2/sV_20170412_F0CzUeD7Hbc.mp4,61822
Targeting Al-Shagr village in the western Jisr al-Shughur countryside with phosphorus bombs - Idlib,IDLIB,Jisr ash-Shughur,NA,NA,IN_4f98a,Use of illegal weapons,2017-04-12,12.0,31.0,مركز جسر الشغور الأعلامي,https://www.youtube.com/watch?v=cDQmB-zfC98,Incendiary Weapons,NA,4f98abded99d0b25c334a76042de5398a091d3d397a8188672c2fce7,https://media.syrianarchive.org/files/spoon2/sV_20170412_cDQmB-zfC98.mp4,61807
Cluster munition attack that targeted Jiser Al Shugur city,IDLIB,Jisr ash-Shughur,35.816531,36.316007,CL_fbd30,Use of illegal weapons,2017-04-12,11.0,10.0,Qasioun News Agency,https://www.youtube.com/watch?v=3mkDvZm5SyA,Cluster Munition,NA,fbd3051694ec4536387119d3113fbb7c2e3b0629c56a9cf2dc74090e,https://media.syrianarchive.org/files/spoon2/sV_20170412_3mkDvZm5SyA.mp4,61908
targeting Urum al-Kubrah city with phosphorus bombs at night and the fire in the houses - Aleppo,ALEPPO,Urum al-Kubra,NA,NA,IN_3c2e7,Use of illegal weapons,2017-04-12,10.0,45.0,وكالة ثقة,https://www.youtube.com/watch?v=bbiojRiIQTs,Incendiary Weapons,NA,3c2e7d7f1022b517fb0ab39ba000218be343476bc3173bc8157adbd6,https://media.syrianarchive.org/files/spoon2/sV_20170412_bbiojRiIQTs.mp4,61842
Cluster munition attack that targeted Jisr ash-Shughur,IDLIB,Jisr ash-Shughur,NA,NA,CL_5302,Use of illegal weapons,2017-04-12,10.0,24.0,مركز جسر الشغور الأعلامي,https://www.youtube.com/watch?v=-DzyPAwRfj8,Cluster Munition,NA,5302e161130e626cb013b85bc44d903d21f46f44fc2039f2d1a2b499,https://media.syrianarchive.org/files/spoon2/sV_20170412_-DzyPAwRfj8.mp4,61806
Syrian regime warplanesTargeting Kafr Naha town with phosphorus bombs  - Aleppo,ALEPPO,Kafar Naha,NA,NA,IN_4dd30,Use of illegal weapons,2017-04-12,9.0,32.0,وكالة ثقة,https://www.youtube.com/watch?v=figRevlxGes,Incendiary Weapons,NA,4dd300ecdff2f7ff2fdce613e88eafb9b2344c8aa3e877d4c575d862,https://media.syrianarchive.org/files/spoon2/sV_20170412_figRevlxGes.mp4,61844
Whole family killed by chemical attacks in Khan Shikhon.,IDLIB,Khan Shaykhun,NA,NA,CW_95120,Use of illegal weapons,2017-04-12,8.0,27.0,Orient News,https://www.youtube.com/watch?v=jVS6r3R9KkM,Chemical Weapons,NA,9512fb8635dfd4323f36392e5a57db49461ec067985800941e340200,https://media.syrianarchive.org/files/spoon2/sV_20170412_jVS6r3R9KkM.mp4,61922
Osama al-Khalid telling the story of the day he had lost his brother's the martyr Anas al-Khalid family during the chemical attacks,IDLIB,Khan Shaykhun,NA,NA,CW_690a1,Use of illegal weapons,2017-04-11,19.0,21.0,Edlib Media Center,https://www.youtube.com/watch?v=l8PLFBXuVps,Chemical Weapons,NA,690ab14e6fa632abdd3e96462659071aef7667f4bb60a64d8caafd0d,https://media.syrianarchive.org/files/spoon2/sV_20170411_l8PLFBXuVps.mp4,61687
Cluster bomb attack on  Kfar Zeita town in the countryside of Hama,HAMA,KafrZita,NA,NA,CL_0dc61,Use of illegal weapons,2017-04-11,12.0,10.0,Baladi-News Network,https://www.youtube.com/watch?v=gcyQ9I9Eokg,Cluster Munition,NA,0dc61fd5a88d4455b7ff68a4d1b4f67bd238a4a430224f07341c093d,https://media.syrianarchive.org/files/spoon2/sV_20170411_gcyQ9I9Eokg.mp4,61672
Alleged Russian airstrikes with cluster bombs that targeted Al Latamneh,HAMA,latamneh,NA,NA,CL_fc47f,Use of illegal weapons,2017-04-10,18.0,43.0,محمود الحموي,https://www.youtube.com/watch?v=dopZJhCZKbw,Cluster Munition,NA,fc47fc86706886daf1bfa7dfa700a8c041551a8110eda67f455c3fe2,https://media.syrianarchive.org/files/spoon2/sV_20170410_dopZJhCZKbw.mp4,61542
Cluster bomb attack that targeted Al Latamneh,HAMA,latamneh,NA,NA,CL_1f0b0,Use of illegal weapons,2017-04-10,18.0,34.0,محمود الحموي,https://www.youtube.com/watch?v=Hl-PbngVSGc,Cluster Munition,NA,1f0b0e32e4e276e1281902978bb41ca7bc5ba10a49456fb356753bee,https://media.syrianarchive.org/files/spoon2/sV_20170410_Hl-PbngVSGc.mp4,61545
Russian Airstrikes targeting Saraqib city with phosphorus bombs,IDLIB,Saraqib nahiyah,NA,NA,IN_f4aa6,Use of illegal weapons,2017-04-10,17.0,0.0,Orient News,https://www.youtube.com/watch?v=PHcJ2iUZaEs,Incendiary Weapons,NA,f4aa6efb4071d9ff1997f61d5f48c27f3e8e3fb015f10c53384903c0,https://media.syrianarchive.org/files/spoon2/sV_20170410_PHcJ2iUZaEs.mp4,61631
Alleged Russian airstrikes that targeted Al Latamneh,HAMA,latamneh,NA,NA,CL_0e034,Use of illegal weapons,2017-04-10,16.0,53.0,محمود الحموي,https://www.youtube.com/watch?v=38dE_LdNleE,NA,NA,0e0348a9b03dc50cdf08a9eb5c2bc67709de43d97611737d5dcd2358,https://media.syrianarchive.org/files/spoon2/sV_20170410_38dE_LdNleE.mp4,61544
Eighteen martyrs were killed by the airstrikes of the regime and Russia on the northern Hama countryside,HAMA,latamneh,NA,NA,RU_240a4,Unlawful attacks,2017-04-10,16.0,47.0,Halab Today TV | قناة حلب اليوم,https://www.youtube.com/watch?v=tNmsqvLPVy0,NA,NA,240a4eb0238b892cbd1adf18c15dea74d2643cf2ff46e8cd5f68390d,https://media.syrianarchive.org/files/spoon2/sV_20170410_tNmsqvLPVy0.mp4,61590
Russian warplanes uses cluster bombs on the neighborhoods of Daraa,DARAA,NA,NA,NA,CL_55c28,Use of illegal weapons,2017-04-10,16.0,15.0,Baladi-News Network,https://www.youtube.com/watch?v=M5ehZWaskQQ,Cluster Munition,NA,55c2860068e44d760f720b9f3cf575844727dc52ec387780c2f17927,https://media.syrianarchive.org/files/spoon2/sV_20170410_M5ehZWaskQQ.mp4,61516
Alleged Russian airstrikes that targeted Latamneh,HAMA,latamneh,NA,NA,CL_67915,Use of illegal weapons,2017-04-10,13.0,44.0,محمود الحموي,https://www.youtube.com/watch?v=ajQf9k_7kpk,NA,NA,6791549a45df0bf4a23c499235ad385e0a9deb3b0c3ced31375c8f30,https://media.syrianarchive.org/files/spoon2/sV_20170410_ajQf9k_7kpk.mp4,61543
Daraa was shelled by a cluster of warplanes,DARAA,NA,NA,NA,CL_0fd01,Use of illegal weapons,2017-04-09,18.0,15.0,SMO Syria,https://www.youtube.com/watch?v=Cu0C4Bke3ho,Cluster Munition,NA,0fd0188ab10f6ea735cd81378a43a65761b465526699bd5b1bdee6d3,https://media.syrianarchive.org/files/spoon2/sV_20170409_Cu0C4Bke3ho.mp4,61419
Russian Airstrikes targeting Saraqib city with phosphorus bombs - Idlib,IDLIB,Saraqib nahiyah,NA,NA,IN_9a02f,Use of illegal weapons,2017-04-09,17.0,0.0,Edlib Media Center,https://www.youtube.com/watch?v=j1aE6PO0Kfo,Incendiary Weapons,NA,9a02fee468d599c9fcefc34d38821b7fc46f3359a6b7dfd063401b17,https://media.syrianarchive.org/files/spoon2/sV_20170409_j1aE6PO0Kfo.mp4,61394
Shelling of Daraa with a cluster bomb from an airforce,DARAA,NA,NA,NA,CL_fc30a,Use of illegal weapons,2017-04-09,16.0,18.0,SMO Syria,https://www.youtube.com/watch?v=MybVzE8PcrU,Cluster Munition,NA,fc30ad72c19c49edbe16d4b8b283b86ab9fd792f9b272ea90649a9fc,https://media.syrianarchive.org/files/spoon2/sV_20170409_MybVzE8PcrU.mp4,61421
many Airstrikes targeting Kafr Zita city with phosphorus bombs - Hama,HAMA,KafrZita,NA,NA,IN_59acf,Use of illegal weapons,2017-04-09,8.0,34.0,مركز الحدث السوري,https://www.youtube.com/watch?v=6RRKf8gOVyA,Incendiary Weapons,NA,59acfa944c9e204537aa0bd4e38565941d582a8825e3c20fe54e2cf4,https://media.syrianarchive.org/files/spoon2/sV_20170409_6RRKf8gOVyA.mp4,61387
Bombing cluster bombs on the neighborhoods of Daraa,DARAA,NA,NA,NA,CL_36689,Use of illegal weapons,2017-04-09,7.0,52.0,Qasioun News Agency,https://www.youtube.com/watch?v=y04dJy3vSek,Cluster Munition,NA,36689bc6bce68fbbdcef1fdb61c11dc51a01efe898496ef606838a46,https://media.syrianarchive.org/files/spoon2/sV_20170409_y04dJy3vSek.mp4,61450
Many airstrikes on the Al-Lataminah city with phosphorus and cluster bombs - Hama,HAMA,latamneh,NA,NA,IN_5e815,Use of illegal weapons,2017-04-08,17.0,59.0,مركز الحدث السوري,https://www.youtube.com/watch?v=PCTGOPR_jf4,Incendiary Weapons,NA,5e8157dd2ce132a4a226da27478d01a4b71131df4dc316085eb08b60,https://media.syrianarchive.org/files/spoon2/sV_20170408_PCTGOPR_jf4.mp4,61223
"Fires in farmland as a result of targeting it with phosphorus bombs - Al-Lataminah, Hama",HAMA,latamneh,NA,NA,IN_a86565,Use of illegal weapons,2017-04-08,17.0,37.0,محمود الحموي,https://www.youtube.com/watch?v=0ewNaQNGnFQ,Incendiary Weapons,NA,a86565c52dc4e2829a42d1402f2b1e9ee19aca407db7be9e46c175bd,https://media.syrianarchive.org/files/spoon2/sV_20170408_0ewNaQNGnFQ.mp4,61252
Many airstrikes on the northern Hama countryside’s towns  using cluster bombs and napalm,HAMA,latamneh,NA,NA,IN_9c043,Use of illegal weapons,2017-04-08,16.0,48.0,وكالة ثقة,https://www.youtube.com/watch?v=zUnQIIdfXpE,Incendiary Weapons,NA,9c049c60d92b6b3c22dee369f152bb9acbe4cdd53857ff458fb68f8f,https://media.syrianarchive.org/files/spoon2/sV_20170408_zUnQIIdfXpE.mp4,61261
many Airstrikes targeting Al-Lataminah city with phosphorus bombs - Hama,HAMA,latamneh,NA,NA,IN_815f2,Use of illegal weapons,2017-04-08,16.0,35.0,مركز الحدث السوري,https://www.youtube.com/watch?v=xjId9rCSUKM,Incendiary Weapons,NA,815f2ee4213ec111bee5236c9c2f93f3892d84e20657355676901189,https://media.syrianarchive.org/files/spoon2/sV_20170408_xjId9rCSUKM.mp4,61220
Two casualties and a number of wounded in Urm al-Joz town resulted from the bombing of cluster bombs,IDLIB,Urum al-Jouz,NA,NA,CL_4e6dd,Use of illegal weapons,2017-04-08,16.0,32.0,Orient News,https://www.youtube.com/watch?v=zRUcwKYFKh4,Cluster Munition,NA,4e6dd4e8077ba97578229433393aca1c931e388fc554efc3fa4f2d51,https://media.syrianarchive.org/files/spoon2/sV_20170408_zRUcwKYFKh4.mp4,61343
